OBJECTID,CHANGE_NUM,MINOR_CHANGE_NUM,CURRENT_NEXT_CODE,IN_SERVICE_FLAG,ROUTE_ID,LOCAL_EXPRESS_CODE,ROUTE_NUM,SHAPE_Length
253,149,9,CURRENT,N,100224,L,44,40743.5333302244
254,149,9,CURRENT,N,100225,L,45,63466.3556610124
255,149,9,CURRENT,N,100228,L,48,51750.2117108971
256,149,9,CURRENT,N,100229,L,5,91657.9827341268
257,149,9,CURRENT,N,100230,L,50,123956.359457256
258,149,9,CURRENT,N,100232,E,522,111101.435758479
259,149,9,CURRENT,N,100236,E,545,190439.128921066
260,149,9,CURRENT,N,100238,L,55,73218.127612867
261,149,9,CURRENT,N,100239,E,550,118792.311845899
262,149,9,CURRENT,N,100240,E,554,268086.489321817
263,149,9,CURRENT,N,100242,L,56,64549.2885790913
264,149,9,CURRENT,N,100246,L,57,76165.9191322549
265,149,9,CURRENT,N,100249,L,60,95031.2570629968
266,149,9,CURRENT,N,100252,L,62,80961.6229000965
267,149,9,CURRENT,N,100253,E,64,74468.0189882811
268,149,9,CURRENT,N,100254,L,65,68707.4182271598
269,149,9,CURRENT,N,100045,L,150,190382.845933473
270,149,9,CURRENT,N,100048,L,153,69311.6448055092
271,149,9,CURRENT,N,100059,L,167,205095.024199274
272,149,9,CURRENT,N,100060,L,168,86950.9405523719
273,149,9,CURRENT,N,100062,E,17,58050.253071727
274,149,9,CURRENT,N,100068,L,177,247344.254404687
275,149,9,CURRENT,N,100071,E,18,62035.0232150348
276,149,9,CURRENT,N,100072,L,181,112737.988594348
277,149,9,CURRENT,N,100073,L,182,56207.3098337441
278,149,9,CURRENT,N,100074,L,183,80032.9514819644
279,149,9,CURRENT,N,100343,E,984,71426.7621726305
280,149,9,CURRENT,N,100344,E,986,157759.735978813
281,149,9,CURRENT,N,100345,E,987,194281.231760704
282,149,9,CURRENT,N,100346,E,988,89938.4935755652
283,149,9,CURRENT,N,100347,E,989,236177.397718627
284,149,9,CURRENT,N,100350,E,994,114798.259975915
285,149,9,CURRENT,N,100447,L,49,52185.5404593165
286,149,9,CURRENT,N,100451,E,556,209458.697897417
287,149,9,CURRENT,N,100459,L,218,198510.312648963
288,149,9,CURRENT,N,100473,E,981,139267.261667633
289,149,9,CURRENT,N,100479,L,599,257591.098579301
290,149,9,CURRENT,N,102717,L,165,169098.436268251
291,149,9,CURRENT,N,102718,L,184,30624.0727648622
292,149,9,CURRENT,N,102719,L,161,88704.8416033116
293,149,9,CURRENT,N,102720,L,160,137612.971507069
294,149,9,CURRENT,N,102727,E,16,89028.7232141715
295,149,9,CURRENT,N,102728,L,320,95149.0977491817
296,149,9,CURRENT,N,102729,L,322,102870.434198795
297,149,9,CURRENT,N,102730,L,20,67279.034004681
298,149,9,CURRENT,N,102731,L,302,133359.603482623
299,149,9,CURRENT,N,102732,L,79,65539.5994835695
300,150,0,NEXT,N,100001,L,1,41571.6332333384
301,150,0,NEXT,N,100002,L,10,22996.2174466008
302,150,0,NEXT,N,100003,L,101,128201.168296967
303,150,0,NEXT,N,100004,L,105,35634.7866581098
304,150,0,NEXT,N,100005,L,106,100872.815728306
305,150,0,NEXT,N,100006,L,107,112173.783621714
306,150,0,NEXT,N,100009,L,11,40616.1131899993
307,150,0,NEXT,N,100011,L,111,239070.878814145
308,150,0,NEXT,N,100012,L,113,89482.3659712657
309,150,0,NEXT,N,100013,L,114,170833.623015622
310,150,0,NEXT,N,100016,L,118,105731.198376036
311,150,0,NEXT,N,100017,L,119,92710.2842192629
312,149,9,CURRENT,N,100481,L,775,27727.6457775421
313,149,9,CURRENT,N,100487,L,102,192440.021147247
314,149,9,CURRENT,N,100489,L,156,91633.6288964
315,149,9,CURRENT,N,100495,E,193,256600.656629804
316,149,9,CURRENT,N,100496,L,930,52616.614801504
317,149,9,CURRENT,N,100511,E,542,137200.174587446
318,149,9,CURRENT,N,100512,L,671,114889.559828374
319,149,9,CURRENT,N,102548,L,672,76498.9755017794
320,149,9,CURRENT,N,102552,L,226,92044.4108162406
321,149,9,CURRENT,N,102554,L,241,57111.2178292076
322,149,9,CURRENT,N,102555,L,893,44655.196303168
323,149,9,CURRENT,N,102557,L,915,114650.557164459
324,149,9,CURRENT,N,102561,L,907,119978.507911197
325,149,9,CURRENT,N,102572,L,29,65950.508726191
326,149,9,CURRENT,N,102574,L,40,98327.8892548327
327,149,9,CURRENT,N,102576,L,673,93365.499736006
328,149,9,CURRENT,N,102581,L,674,69259.8913487509
329,149,9,CURRENT,N,102593,L,906,81418.4267229573
